Species,SPCODE,Family,Common Name,Life Form,Habitat,Status,Notes,Old Species name,OLDSPCODE,
Andropogon virginicus,ANDVIR,Poaceae,Broomsedge.,Grass,Prairie,,"Inflor slender, less than A. glom. ",,ANDVIR,
Anemia adiantifolia,ANEADI,Schizaeacea,Pine fern,Fern,Pineland,,"Pinnae div. into round, lobey segment. Fertile fronds separate, brown. Cute. ",,ANEADI,
Angadenia berterii,ANGBER,Apocynaceae,Pineland allamanda,Forb,Pineland,?,"decussate, convex lvs wi distinct petioles. single herb stalk. milky sap. ",,ANGBER,
Annona glabra,ANNGLA,Annonaceae,Pond apple,Shrub,Wet,,"Tree with large, alt. lvs w. v. thick petioles. ",,ANNGLA,
Apios americana,APIAME,Fabaceae,groundnut,vive,,,on arch sites found with Chuck Lawson,,APIAME,
Ardisia escallonioides,ARDESC,Myrsinaceae,Marlberry,Shrub,Hammock,,"V-shaped (concave), alt., v. shiny lvs. Term inflor, berries. ",,ARDESC,
Argemone mexicana,ARGMEX,Papaveraceae,Mexican poppy,Forb,Disturbed,,"Exotic. Lrg 6-pet bisex yel flwrs, fused purple stigmata. Rest spiny. Disturbed. ",,ARGMEX,
Argythamnia argothamnoides,ARGARG,Euphorbiaceae ,Blodgett's mercury,Forb,,END-FL,Alt. Lvs. Eliptical. Axilay white/yellow FL,Argythamnia blodgettii,ARGBLO,
Aristida purpurascens,ARIPUR,Poaceae,Arrowfeather,Grass,Pineland,,Oft. occurs singly. Curly dried lvs. Tall spikey inflor. v. short ligule. ,,ARIPUR,
Asclepias lanceolata,ASCLAN,Asclepidaceae,Red milkweed,Forb,Prairie,,thin lin opp.  lvs. bright red flwrs (4-6) in term. cluster. glades. ,,ASCLAN,
Asclepias longifolia,ASCLON,Asclepidaceae,Florida milkweed,Forb,Prairie,,"Lvs. sim to A. lanc. but slightly fleshier, hairier. Flwrs. wh-pink, large clusters. ",,ASCLON,
Asclepias tuberosa,ASCTUB,Asclepidaceae,Butterfly weed,Forb,Pineland,,Sessile (almost saggitate) hairy lvs. Umbels of gorgeous org flwrs. No mikley sap,,ASCTUB,
Asemeia violacea,ASEVIO,Polygalaceae,Big-flower milkwort,Forb,Prairie,,"Cymose inflor. Winged flws. thin, alt lvs, delicate reddish petioles. ",Polygala grandiflora,POLGRA,
Avicennia germinans,AVIVES,Avicenniacea,Black Mangrove,Tree,coast,,"Lvs. Opp. Ellipical, leathery, pencil like erect roots, ",,AVIVES,
Ayenia euphrasiifolia,AYEEUP,Sterculiaceae,Eyebright ayenia,Forb,Pineland,,"Mat-forming herb, tiny. Yel-green, sharply toothed lvs. ",,AYEEUP,
Baccharis glomeruliflora,BACGLO,Asteraceae,Groundsel tree,Shrub,Common,,spatulate/obovate alt lvs with fine points. white comp. SESSILE flwrs. ,,BACGLO,
Baccharis halimifolia,BACHAM,Asteraceae,Saltbush,Shrub,Common,,spatulate/obovate alt lvs with fine points. white comp. PEDUNCULATE  flwrs. ,,BACHAM,
Bacopa caroliniana,BACCAR,Scrophulariaceae,Blue hyssop,Forb,Wet,,"Opp, succ lvs with v. strong lemony scent. Wet places only. Somewhat prostr.",,BACCAR,
Bacopa monnieri,BACMON,Scrophulariaceae,Water hyssop,Forb,Wet,,"Smaller than above, also opp & succ lvs. NO odour.  Mixed stands w. above.",,BACMON,
Batis maritima,BATMAR,Bataceae,Saltwort,Forb,coast,,Lvs. Succulent green. No sections,,BATMAR,
Bletia purpurea,BLEPUR,Orchidaceae,Pine-pink,Orchid,,THR-FL,Lvs. resemble pam seedlings except at base. Often sol'n holes. Fl. Purple,,BLEPUR,
Boehmeria cylindrica,BOECYL,Urticaceae,Bog-hemp,Forb,,,"Nettle like, opp lvs, toothed margins",,BOECYL,
Buchnera americana,BUCAME,Scrophulariaceae,Blueheart,Forb,Pineland,,"Often scabrous lvs, stem. Basal rose, opp cauline. Pink 5-pet flwrs, term. ",Buchnera floridana,BUCFLO,
Bursera simaruba,BURSIM,Burseraceae,Gumbo-Limbo,Tree,Hammock,,"Bark. Odd-pinn cmpd lvs, smell like turpentine. Hammock. ",,BURSIM,
Byrsonima lucida,BYRLUC,Malpighiaceae,Locust-berry,Shrub,Pineland,,"Decussate lvs. Tiny red hairs on midvein, stem. Triangular leaf attachment. ",,BYRLUC,
Cadiospermum microcarpum,CADMIC,Sapindaceae,heatseed,Vine,,,See in Key Largo,,CADMIC,
Callicarpa americana,CALAME,Verbenaceae,Beauty berry,Shrub,Pineland,,Conspic purple berry bunches. Opp toothed lvs. ,,CALAME,
Calopogon tuberosus,CALTUB,Orchidaceae,Grass-pink,Orchid,Prairie,,"Smallish orchids. Pink-wt flw 3-5 cm, terrestrial",,CALTUB,
Caperonia castaneifolia,CAPCAS,Euphorbiaceae,Hillary's collection,Forb,Wet,,"Alt. toothed lvs, parallel lateral ven, stiff squarish. v.green. Wh 5-pet flwrs. Wet.",,CAPCAS,
Capraria biflora,CAPBIF,Veronicaceae,Goatweed,,,,,,CAPBIF,
Cassytha filiformis,CASFIL,Lauraceae,Love vine,Vine,Praire,,"Weedy greedy orange vine, all over the place. Parasitic.  ",,CASFIL,
Casuarina glauca,CASGLA,Casuarinaceae,Australian Pine,Tree,Disturbed,,"looks line pine, however dicot",,CASGLA,
Catopsis berteroniana,CATBER,Bromeliaceae,Powdery Catopsis,Epiphyte,Hammock,END-FL,Lvs. Yellow-green w/white powder covering(base),,CATBER,
Catopsis floribunda,CATFLO,Bromeliaceae,Florida Strap Airplant,Epiphyte,Hammock,END-FL,"Lvs. Bright green, wider base narrowing tip",,CATFLO,
Celtis laevigata,CALLAE,Ulmaceae,Hackberry,Tree,Hammock,END-FL,"Alt lvs. Rounded bottom, pointed top end,",,CALLAE,
Centella asiatica,CENASI,Apiaceae,Coinwort,Forb,Prairie,,"v. sm, low plant with round toothed leaf. glades. ",,CENASI,
Centrosema virginianum,CENVIR,Fabaceae,Butterfly-pea,Vine,Pineland,,Linear leaflets in 3s. Large irreg pink-purple flower with 'wings'. ,,CENVIR,
Cephalanthus occidentalis,CEPOCC,Rubiaceae,Buttonbush,Shrub,Wet,,Opp. lvs. Conspic fruits and flwrs. ,,CEPOCC,
Chamaecrista deeringianna,CHADEE,Fabaceae,Partridge Pea,Forb,Pineland,,"Even-pinnate lvs, <20 prs. pinnae, ~1-2 cm. long. Red stems. Yellow FL",,CHADEE,
Chaptalia albicans,CHAALB,Asteraceae,Sun-bonnet,Forb,Pineland,,"Basal rosette,  very white under side, small teeth at margins, rib",Chaptalia dentata,CHADEN,
Chiococca alba,CHIALB,Rubiaceae,Snowberry,Shrub,Pineland,,Opp. lvs. Shiny dark green. Vine. Nodes purplish. ,Chiococca parvifolia,CHIPAR,
Chloris radiata,CHLRAD,Poaceae,,,,,,,CHLRAD,
Chrysobalanus icaco,CHRICA,Chrysobalanaceae,Coco-grape,Shrub,Hammock,,"Oval, alt lvs upright along stem in 2 ranks. Fruit purple drupe. ",,CHRICA,
Chrysophyllum oliviforme,CHROLI,Sapotaceae,Satin leaf,Shrub,Hammock,,"Underside of lvs often gold/tan fuzz, tops shiny yel-green. Alt lvs. ",,CHROLI,
Cirsium horridulum,CIRHOR,Asteraceae,Thistle,Forb,Prairie,,"unmistakable, and prickly, basal rosette. ",Cirsium vittatum(horridulum),CIRHOR,
Cissus verticillata,CISVER,Vitaceae,Possum Grape,Vine,,,"Vine, Lvs. simple, oblong, serrate, pubescent",,CISVER,
Citharexylum spinosum,CITSPIN,Verbenaceae,Fiddlewood,Shrub,Hammock,,"Hammock shrub/tree. Distinct orange-pink petioles, tropicaceous lvs.",Citharexylum fruticosum,CITFRU,
Cladium jamaicense,CLAJAM,Cyperaceae,Sawgrass,Grass,Prairie,,Finely toothed blades (esp near tip); reddish bases. Pers. inflor stalk. Wet. ,,CLAJAM,
Cnidoscolus stimulosus,CNISTI,Euphorbiaceae,Tread Softly,Forb,,,"Lvs. Prickly, palmmatley viened ",,CNISTI,
Coccoloba diversifolia,COCDIV,Polygonaceae,Pigeon-plum,Tree,Hammock,,"Large, variable  lvs. conspic green ocrea. not common. ",,COCDIV,
Coccoloba uvifera,COCUVI,Polygonaceae,Sea-grape,Shrub,coast,,,,COCUVI,
Coccothrinax argentata,COCARG,Arecaceae,Silver palm,Palm,Pineland,THR-FL,sim to Sabal but silver undersides,,COCARG,
Coelorachis rugosa,COERUG,Poaceae,Joint grass,Grass,Prairie,,"Culms v. flat at base, red seam, then above strongly keeled. shiny red cast. ",,COERUG,
Coleataenia rigidula,COERIG,Poaceae,Redtop Panicum,Grass,Wet,,Very prononced  white mid-rib,Panicum rigidulum,PANRIG,
Coleataenia tenera,COETEN,Poaceae,Bluejoint panicum,Grass,Prairie,,"Distinct black nodes. Generally terete culms, except at base. ",Panicum tenerum,PANTEN,
Colubrina arborescens,COLARB,Rhamnaceae,Coffee colubrina,Shrub,Hammock,,,,COLARB,
Conocarpus erectus,CONERE,Combretaceae,Buttonwood ,Shrub,Wet,,"Alt lvs, glands along midvein (underside). Stipulate petiole. ",,CONERE,
Conoclinium coelestinum,CONCOE,Asteraceae,Mist flower,Forb,Prairie,,"purple inflor. Opp, petiolate, spade-shaped, scalloped lvs, sometime purplish.",,CONCOE,
Corchorus siliquosus,CORSOL,Tiliaceae,Siliquated jute,Shrub,Pineland,,"Lvs serrated, crinkly, alt (tho tight). Woody shrub up to 1 m. LONG purp pods. ",,CORSOL,
Coreopsis leavenworthii,CORLEA,Asteraceae,Tickseed,Forb,Pineland,,"Yel rays, brown disks. Fine grey-green lvs. spreading venation characteristic",,CORLEA,
Crinum americanum,CRIAME,Amaryllidaceae,Swamp lily,Forb,Prairie,,wet places. large 6-pet wht flwrs. ,,CRIAME,
Crossopetalum ilicifolium,CROILI,Celastraceae,Ground-holly,Forb,Pineland,,"Holly-like lvs. Prostrate, spreading. Red berries. Pinelands. ",,CROILI,
Crossopetalum rhacoma,CRORHA,Celastraceae,Rhacoma,Forb,Pineland,,Very very rare (Dick has seen 2 in his lifetime),,CRORHA,
Crotalaria pumila,CROPUM,Fabaceae,Low rattle-box,Forb,Pineland,,Rounded leaflets in 3s. Bright yellow pea-flower. Pinelands. ,,CROPUM,
Croton linearis ,CROLIN,Euphorbiaceae,Pineland croton,Forb,Pineland,,Linear lvs. Copius clear orange sap. V. white stems and undersides.,,CROLIN,
Cyperus haspan,CYPHAS,Cyperaceae,Haspan Flatsedge,Sedge,Wet,,"conspic, large ""umbel"" inflor. bright green, tri. lvs. infreq. in glades, us. in shade",,CYPHAS,
Dalbergia ecastophyllum,DALECA,Fabaceae,,,,,,,DALECA,
Dichanthelium aciculare,DICACI,Poaceae,,Grass,Prairie,,"Clasping blades, bunchy look, often prostrate. Term. spray of sm. seeds. ",,DICACI,
Dichanthelium dichotomum,DICDIC,Poaceae,,Grass,Prairie,,,,DICDIC,
Dichanthelium strigosum var. leucoblepharis,DICSTRLEU,Poaceae,,Grass,Pineland,,Blades with distinctly ciliated margins. ,Dichanthelium leucoblepharis,DICLEU,
Digitaria filiformis var. dolichophylla,DIGFILDOL,Poaceae,Caribbean Crabgrass,Grass,,THR-FL,,Digitaria dolichophylla (filiformis),DIGDOL,
Digitaria filiformis var. filiformis,DIGFILFIL,Poaceae ,,Grass,,,"Inflor conspic- ""5-ptd"" (spreads).",Digitaria villosa,DIGVIL,
Digitaria pauciflora,DIGPAU,Poaceae,Two spike Crabgrass,Grass,Pineland,END-FL,,,DIGPAU,
Diodia virginiana,DIOVIR,Rubiaceae,Buttonweed,Forb,Wet,,Petioles and stipules form filiform nodal sheath. Opp lanceolate lvs.,,DIOVIR,
Dodonaea viscosa,DODVIS,Sapindaceae,Varnish leaf,Forb,Pineland,,"Spatulate lvs, bright shiny yel-green, alt. Fruits with reddish ""bracts"". ",,DODVIS,
Dyschoriste angusta ,DYSANG,Acanthaceae,Twin Flower,Forb,Pineland,,"decussate. lvs lin, ellipt, or var, wavy margins. often purplish. 5-pet pink flwr ",,DYSANG,
Echites umbellata,ECHUMB,Apocynaceae,Devil's potato,Vine,Pineland,,"vine. prd lvs, almost v-shaped. yoke at node. large 5-pet wh flwrs",,ECHUMB,
Eleocharis cellulosa,ELECELL,Cyperaceae,Tough spike-rush,Sedge,Wet,,,,ELECELL,
Eleocharis geniculata,ELEGEN,Cyperaceae,Caribbean spike-rush,Sedge,Wet,,"v. tiny, inconspic glade sedge. little wiry clumps with termal ""cones"". ",,ELEGEN,
Elytraria caroliniensis ,ELYCAR,Acanthaceae,Scale stem,Forb,Prairie,,flat basal rosette of thick spatulate leaves. single spike inflor w. tight bracts. ,,ELYCAR,
Emilia fosbergii,EMIFOS,Asteraceae,Tasselflower,Forb,Disturbed,Not Native,"Introduced weed. Hairy, toothed, alt lvs, dense basally. Discoid orng inflor ",,EMIFOS,
Eragrostis elliottii,ERAELL,Poaceae,Eli's Lovegrass,Grass,Prairie,,"Blades dull one side, shiny other. often splayed. Lrg spreading panicle.  ",,ERAELL,
Erechtites hieracifolius,EREHIE,Asteraceae,Fireweed,Forb,,,"Steam fleshy, grooved, Lvs. alt. oblanceeolate, coarsely toothed, ",,EREHIE,
Erigeron quercifolius,ERIQUE,Asteraceae,Daisy fleabane,Forb,Prairie,,"As basal rosette, thick lvs with scalloped margins, hairy. Wh-pnk rays, yel disc",,ERIQUE,
Eriochloa michauxii var. michauxii,ERIMICMIC,Poaceae,Cupgrass,Grass,,,"Flat base, blade ends not rounded. Rice like look spikelets",Eriochloa michauxii,ERIMIC,
Eugenia axillaris,EUGAXI,Myrtaceae,White stopper,Shrub,Hammock,,"Opp., ptd, oval lvs with red petioles. Shiny. New lvs. freq. red. ",,EUGAXI,
Eugenia foetida,EUGFOE,Myrtaceae,Spanish/Stinky stopper,Shrub,Hammock,,"Musky, skunky? Fruit often persistent, dry. ",,EUGFOE,
Eupatorium capillifolium,EUPCAP,Asteraceae,Dog fennel,Forb,Praire,,Strong resemb. to E. lept. but v. hairy stem . Dense and shruby sometimes. ,,EUPCAP,
Eupatorium leptophyllum,EUPLEP,Asteraceae,Fennel,Forb,Praire,,v. finely divided lvs. paniculate inflor. wet places. ,,EUPLEP,
Eupatorium mikanioides,EUPMIK,Asteraceae,Semaphore plant (?),Forb,Praire,,"Lvs opposite, scalloped, petiolate, almost succulent, erect. Wet places. ",,EUPMIK,
Euphorbia deltoidea subsp. pinetorum,EUPDEPPIN,Euphorbiaceae,Pineland spurge,Forb,Pineland,END-FL,"Opp, round lvs., v. small and v hairy (stems also).",Chamaesyce pinetorum,CHAPIN,
Euphorbia garberi,EUPGAR,Euphorbiaceae,Garber's spurge,Forb,,"THR-US, END-FL","Looks like CHAPOR, but has pubesent fruits",Chamaesyce garberi,CHAGAR,
Euphorbia hypericifolia,EUPHYP,Euphorbiaceae,Spurge,Forb,Pineland,,"Opp, finely serrate lvs. Erect, glabrous. disturbed places. ",Chamaesyce hypericifolia,CHAHYP,
Euphorbia pergamena,EUPPER,Euphorbiaceae,Spurge,Forb,Pineland,THR-FL,"Opp, finely serrated close together lvs. Cyathia w/o peduncle. prostrate, hairy.",Chamaesyce adenoptera,CHAADE,
Euphorbia pinetorum ,EUPPIN,Euphorbiaceae,Pineland poinsettia,Forb,Pineland,,White sap. Glabrous alt. lin. lvs. ,Poinsettia pinetorum,POIPIN,
Euphorbia porteriana,EUPPOR,Euphorbiaceae,Porter's spurge,Forb,Pineland,END-FL,"Opp, entire lvs. Larger than pinetorum. often purple. ",Chamaesyce porteriana,CHAPOR,
Euploca polyphylla,EUPPOL,Boraginaceae,Pineland Heliotrope,Forb,Prairie,,"Finely hairy on all surfaces. lvs entire, alt., spin densely. ",Heliotropium polyphyllum(leavenworthii),HELPOL,
Eustachys petraea,EUSPET,Poaceae,Fingergrass,Grass,,,Inflor. 5-7 arms in a  whorl flat base. Leaf blade end rounded ? If the one with red flat nodes,,EUSPET,
Evolvulus sericeus,EVOSER,Convolvulaceae,Creeping morning glory,Forb,Pineland,,"Tiny, delicate plant. Alt, lin lvs. Bright green, OR wht-hairy. Wh. 5-pet flwrs.",,EVOSER,
Exothea paniculata,EXOPAN,Sapindaceae,Inkwood,Shrub,Hammock,,"Even-pinnate lvs, light green, shiny, generally 3 prs. leaflets. ",,EXOPAN,
Ficus aurea,FICAUR,Moraceae,Strangler fig,Tree,Hammock,,Simple leaves. Milky sap.  Leaf blade tapers to petiole. ,,FICAUR,
Ficus citrifolia,FICCIT,Moreaceae,Shortleaf fig,Tree,Hammock,,Leaf blade BROAD at base. Also simple petiolate lvs with milky sap. ,,FICCIT,
Flaveria linearis,FLALIN,Asteraceae,Yellow Top,Forb,East EVER,,opp. Long linear fleash leaves. Yellow flat umbell,,FLALIN,
Forestiera segregata,FORSEG,Oleaceae,Florida privet,Shrub,Pineland,,"Small (2-3 cm) alt lvs with dark red petioles. Prickly shrub, grey bark.",,FORSEG,
Fuirena breviseta,FUIBRE,Cyperaceae,Umbrellasedge,Sedge,Wet,,"Characteristic fruits - fuzzy bundles. Clasping, alt. leaves. ",,FUIBRE,
Fuirena scirpoidea,FUISCI,Cyperaceae,Umbrellasedge,Sedge,Wet,,very small clasping lvs. ,,FUISCI,
Funastrum clausum,FUNCLA,Asclepiadaceae,White Vine,Vine,edge TI,,Opp. levs. Vine w/milky-white sap. Outside tree islands in Shark Slough,Sarcostemma clausum,SARCLA,
Galactia austrofloridensis,GALAUS,Fabaceae,Milk Pea,Vine,Pineland,,3 leaflets ,Galactia parvifolia,GALPAR,
Galactia pinetorum,GALPIN,Fabaceae,Pineland milk pea,Vine,Pineland,,3 leaflets ,,GALPIN,
Galium hispidulum,GALHIS,Rubiaceae,Bedstraw,Forb,Pineland,,vine like. wholed lvs. ,,GALHIS,
Geobalanus oblongifolius,GEOOBL,Chrysobalanaceae,Gopher-apple,Forb,Pineland,,Green Wax paper like lvs.,Licania michauxii,LICMIC,
Gouania lupuloides,GOULUP,Rhamnaceae,chewstick,Shrub,Hammock,,"Looks like Colubrina, but with tendrils. Key Largo",,GOULUP,
Gratiola ramosa,GRARAM,Scrophulariaceae,Hedge-hyssop,Forb,,,opp fleashy lvs. Looks like a fleashy DYCAND.Sometime small teeth@margins White-yellow FL,,GRARAM,
Guapira discolor,GUADIS,Nyctaginaceae,Blolly,Shrub,Hammock,,"Woody stem, yel-greenpetiolate lvs. generally alt. Single stalk.  ",,GUADIS,
Guettarda elliptica,GUEELL,Rubiaceae,Velvetseed,Shrub,Pineland,,"Oval, ptd., opp or whorled lvs. Speckly stem. stipules, as for all rubes. ",,GUEELL,
Guettarda scabra,GUESCA,Rubiaceae,Rough velvetseed,Shrub,Pineland,,"Scabrous, ovate, opp  lvs. Young often reddish. Texture diagnostic. ",,GUESCA,
Gymnanthes lucida,GYMLUC,Euphorbiaceae,Crabwood,Tree,Hammock,,Leaves alt. shouldered where attached to petiole. Margin shallowly notched,,GYMLUC,
Habenaria quinqueseta,HABQUI,Orchidaceae,Longhorn False Reinorchid,Orchid,Hammock,,Basial rosette of round lvs. Alt lvs on stem. Many small white alt FL,,HABQUI,
Helenium pinnatifidum,HELPIN,Asteraceae,Sneezeweed,Forb,Wet,,"very flat  lvs in basal rosette, with pores. large single yel. comp flwr. ",,HELPIN,
Heliotropium gnaphalodes,HELGNA,Boraginaceae,Sea Lavender,Shrub,coast,END-FL,"Lvs. Thich, hairy, gray-green, whorled at ends. Fl. White/purple, om curled stem.",Argusia gnaphalodes,ARGGNA,
Hibiscus grandiflora,HIBGRA,Malvaceae,Swamp Rosemallow,Shrub,,,"Lvs. Heart-shaped, toothed, velvety. Fl. Large 5 petal pink-white ",,HIBGRA,
Houstonia nigricans,HOUNIG,Rubiaceae,Diamondflowers,Forb,Pineland,,"delicate rocklands plant, looks like tiny borreria, but wh flwrs single, cute. ",Hedyotis nigricans,HEDNIG,
Hydrocotyle umbellata,HYDUMB,Apiaceae,Marsh Pennywort,Forb,Disturbed,,round lvs. With stem attached to middle,,HYDUMB,
Hydrolea corymbosa,HYDCOR,Hydrophllaceae,Sky-flower,Forb,Wet,,opp. Lvs white mid vein (The one I asked Jim it looked like a weird ludwigia),,HYDCOR,
Hymenocallis palmeri,HYMPAL,Amaryllidaceae,Spider lily,Forb,Wet,,Almost succulaent spikes. ,,HYMPAL,
Hypelate trifoliata,HYPTRI,Sapindaceae,White Ironwood,Tree,Hammock,END-FL,"Lvs. 3 lfts, light green on bothsides, Bark.gray. FL. White",,HYPTRI,
Hypericum brachyphyllum,HYPBRA,Clusiaceae ,St. John's wort,Herb/Shurb,Pineland,,"disting.from HYPHYP by smaller, thinner, closer lvs (~1 cm long vs up to 3 cm)",,HYPBRA,
Hypericum hypericoides,HYPHYP,Clusiaceae,St. Andrew's cross,Herb/Shrub,Pineland,,"thin woody, bright brown stem. thin opp (decussate) lvs. yel flwrs, 2 sepals",,HYPHYP,
Hypoxis wrightii,HYPWRI,Hypoxidaceae,Star grass,Forb,Pineland,,"grass-like, thin linear leaves. dense wh hairs, blue-grey appearance. yel 6-pt flr",,HYPWRI,
Hyptis alata,HYPALA,Lamiaceae,Musky mint,Forb,Pineland,,"Square stem, opp toothed lvs, term inflor (persistent). No distinctive scent. ",,HYPALA,
Ilex cassine var. cassine,ILECASCAS,Aquifoliaceae,Dahoon,Shrub,Hammock,,"Lvs dark green, alt, w. fine teeth. Dark reddish bark & petioles. Sol'n holes. ",Ilex cassine,ILECAS,
Ilex krugiana,ILEKRU,Aquifoliaceae,Tawnyberry holly,Shrub,Hammock,END-FL,"untoothed, alt, petiolate lvs, blacken when plucked/pressed.",,ILEKRU,
Indigofera miniata,INDMIN,Fabaceae,Unknown fab,Herb,Pineland,,"ODD pinnate lvs. (Otherwise sim. veg to Cassia-vetch like lvs). Uncommon, localized. Pink pea flr",,INDMIN,
Ipomoea microdactyla,IPOMIC,Convolvulaceae,Man-in-the-ground !,Vine,Pineland,END-FL,"aka pseudo-tomato. distinctly white-venated, folded, alt lanceolate, lvs. pineland vine. big red flwrs. Blocks J & H",,IPOMIC,
Ipomoea pes-caprae subsp. brasiliensis,IPOPESBRA,Convolvulaceae,Railroad vine,Vine,Coast,,alt lvs. Rounded lvs. Long vines growing on beach. Large purple flowers,Ipomoea pes-caprae,IPOPES,
Ipomoea sagittata,IPOSAG,Convolvulaceae,Glades morning glory,Vine,Prairie,,"Thin, v. saggitate lvs. generally glades. ",,IPOSAG,
Ipomoea tenuissima,IPOTEN,Convolvulaceae,Rockland m.g.,Vine,Pineland,END-FL,"alt-lvd vine, smaller more purple flwrs than I. microdactyla. lvs almost lobed.",,IPOTEN,
Iva microcephala,IVAMIC,Asteraceae,Tiny-headed iva,Forb,Prairie,,"opp lin lvs, distinctly hariy. red stem. mildly succ. glades. source of punny joke.",,IVAMIC,
Jacquemontia curtissii,JACCUR,Convolvulaceae,Pineland clustervine,Vine,Pineland,THR-FL,"Viney. Alt, distinctly petiolate lvs.  Wh. 5-pet flwrs, purple-green berries. ",,JACCUR,
Jacquinia keyensis,JACKEY,Theophrastaceae,Joewood,Shrub,,THR-FL,"sub alt. Simpl thick leathery (but brittle) margins often rolled, shallow notch at tip, obscure veins.",,JACKEY,
Juncus megacephalus,JUNMEG,Juncaceae,,Rush,Wet,,,,JUNMEG,
Juncus polycephalos,JUNPOL,Juncaceae,Many-headed rush,Rush,Wet,,"Large composite head, large rush overall. Wet places.  ",,JUNPOL,
Juncus roemerianus,JUNROE,Juncaceae,Needle or Black Rush,Rush,Wet,,very sharp tip,,JUNROE,
Justicia angusta,JUSANG,Acanthaceae,Water willow,Forb,Prairie,,wet places. thin lin. opp lvs. .no sap. Do not confuse with AGALIN-no v-shape where lvs conect. ,,JUSANG,
Koanophyllon villosum,KOAVIL,Asteraceae,FL. Shrub Thoroughwort,Shrub,Pineland,,Lvs. Opp. Prominently 3-veined. Fuzzy stem,,KOAVIL,
Kosteletzkya pentacarpos,KOSPEN,Malvaceae,Saltmarsh mallow,Herb/Shrub,Prairie,, Lvs. Alt. rough maple-like shape. Large pink 5 petal Flr. ,Kosteletzkya virginica,KOSVIR,
Laguncularia racemosa,LANRAC,Combretaceae,White Mangrove,Tree,Coast,,"Lvs. Opp oblong/ovate leathery, small nothch @ tip.",,LANRAC,
Lantana depressa var. depressa,LANDEP,Verbenaceae,Pineland lantana,Forb?,Pineland,END-FL,"low to grond, scented, toothed, opp lvs. Yellow Flw",Lantana depressa,LANDEP,
Lantana involucrata,LANINV,Verbenaceae,Wild sage,Shrub,Pineland,,"strongly scented, toothed, opp lvs, erect (sometimes shrubby). Grey-green. White FL.",,LANINV,
Leersia hexandra,LEEHEX,Poaceae,Southern cutgrass,Grass,Wet,,Lvs. rough. dense wt. hair band of wt. hairs @ nodes,,LEEHEX,
Liatris gracilis,LIAGRA,Asteraceae,Graceful blazing star,Forb,Pineland,,"lvs linear ciliate, Flw purple stalk",,LIAGRA,
Liatris spicata,LIASPI,Asteraceae,Spiky blazing star,Forb,Pineland,,"(as L. gracilis when young? flowering stalk large, tall, conspic purple).glabrous ",,LIASPI,
Liatris tenuifolia,LIATEN,Asteraceae,Mike's blazing star,Forb,Pineland,,,,LIATEN,
